Unnamed: 0,land,regbez,kreis,gemeinde,jahr,monat,stunde,wochentag,kategorie,art,typ,licht,strzustand,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,linrefx,linrefy,xgcswgs84,ygcswgs84,ags
65137,9,1,62,0,2016,3,15,5,3,6,4,0,0,0,1,1,0,0.0,0,692090.2633,5341862.3918,11.585241857,48.200907698,09162000
65155,9,1,62,0,2016,3,8,2,3,2,6,0,0,0,1,0,0,0.0,0,687902.2722,5343593.1114,11.52970203,48.217716746,09162000
65169,9,1,62,0,2016,3,11,6,3,2,2,0,0,0,1,0,0,0.0,0,684235.1274,5343359.3335,11.480278716,48.216690757,09162000
65208,9,1,62,0,2016,3,15,3,3,8,7,0,0,0,1,0,0,0.0,0,689953.9284,5328058.6047,11.550363294,48.077481658,09162000
65267,9,1,62,0,2016,3,1,1,3,5,3,2,0,0,1,0,0,0.0,0,686182.1506,5335258.9923,11.502915855,48.143314234,09162000
65285,9,1,62,0,2016,3,23,7,3,4,2,2,0,0,1,0,0,0.0,0,692104.7878,5341866.4906,11.585438983,48.200940143,09162000
65373,9,1,62,0,2016,3,21,7,3,5,3,2,0,0,1,0,0,0.0,0,694994.8414,5332996.0632,11.620226885,48.120336217,09162000
65380,9,1,62,0,2016,3,15,5,3,2,6,0,0,0,1,0,0,0.0,1,694841.1625,5332015.2573,11.617715953,48.111568167,09162000
65415,9,1,62,0,2016,3,6,1,2,8,1,1,1,0,1,0,0,0.0,0,681152.1252,5340451.3705,11.437571638,48.191439513,09162000
65473,9,1,62,0,2016,3,16,6,3,1,6,0,0,0,1,0,0,0.0,0,694845.702,5332521.2667,11.618008046,48.116114592,09162000
65529,9,1,62,0,2016,3,13,7,3,5,3,0,0,0,1,0,0,0.0,0,694998.5025,5333475.0273,11.620495116,48.124639821,09162000
65537,9,1,62,0,2016,3,17,4,3,5,2,0,0,0,1,0,0,0.0,1,688517.2945,5334976.1387,11.534151192,48.140084275,09162000
65574,9,1,62,0,2016,3,17,4,3,1,5,0,0,0,1,0,0,0.0,0,697771.9804,5330072.8386,11.656148162,48.093207716,09162000
65590,9,1,62,0,2016,3,19,4,3,3,1,2,0,0,1,0,0,0.0,0,687740.2709,5344315.4783,11.527843081,48.224257383,09162000
65626,9,1,62,0,2016,3,11,5,3,6,2,0,0,0,1,1,0,0.0,0,694634.196,5334166.31,11.615920374,48.130964272,09162000
65646,9,1,62,0,2016,3,8,4,3,1,6,0,0,0,1,0,0,0.0,0,688836.729,5331704.312,11.536991272,48.11058187,09162000
65678,9,1,62,0,2016,3,20,5,3,0,1,2,0,0,0,0,1,0.0,0,691540.7947,5331949.5134,11.573392342,48.111978324,09162000
65682,9,1,62,0,2016,3,16,4,3,2,6,0,0,0,1,0,0,0.0,0,686966.4209,5335136.3703,11.513394752,48.141982081,09162000
65728,9,1,62,0,2016,3,8,2,3,2,6,0,0,0,1,0,0,0.0,0,688691.2513,5337391.1752,11.537557873,48.16173935,09162000
65732,9,1,62,0,2016,3,14,5,3,6,4,0,0,0,1,1,0,0.0,0,684575.4462,5342933.6413,11.484670566,48.212765581,09162000
65753,9,1,62,0,2016,3,15,4,3,5,2,0,0,0,1,0,0,0.0,0,681137.4428,5335220.9826,11.435146224,48.144428893,09162000
65785,9,1,62,0,2016,3,18,5,3,3,6,1,0,0,1,0,0,0.0,0,692069.4468,5331394.5326,11.580237569,48.106831024,09162000
65813,9,1,62,0,2016,3,0,6,3,0,7,2,0,0,1,0,0,1.0,0,680642.4608,5339475.4946,11.430305038,48.182812731,09162000
65836,9,1,62,0,2016,3,15,6,3,5,3,0,0,1,1,0,0,0.0,0,684990.2601,5331972.5788,11.485481871,48.114121971,09162000
65845,9,1,62,0,2016,3,16,7,2,0,6,0,0,0,1,0,1,0.0,0,684518.2875,5332098.7755,11.479201333,48.115393219,09162000
65889,9,1,62,0,2016,3,7,6,3,5,3,0,0,1,1,0,0,0.0,0,694984.884,5332997.2736,11.620093782,48.120350145,09162000
65944,9,1,62,0,2016,3,15,6,3,2,6,0,0,0,1,0,0,0.0,0,687598.934,5333266.5866,11.521065781,48.124989807,09162000
65969,9,1,62,0,2016,3,14,7,3,4,2,0,0,0,1,0,0,0.0,0,687777.4569,5335018.7197,11.524234702,48.140685768,09162000
65988,9,1,62,0,2016,3,17,2,3,2,6,1,0,0,1,0,0,0.0,0,694991.3706,5333027.6624,11.620194749,48.12062128,09162000
66013,9,1,62,0,2016,3,9,6,3,2,6,0,0,0,1,0,0,0.0,0,687009.6235,5331327.0953,11.512303629,48.10773038,09162000
66071,9,1,62,0,2016,3,12,6,3,0,6,0,0,0,1,0,0,0.0,1,693428.4055,5331501.3701,11.598522691,48.107380079,09162000
